Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Prada (Valexus Remix),Prada (feat. Valexus) [Valexus Remix],cassï¿,09-08-2023,GBCEN2300156,"2,667",27.3,47098121.00,16949.00,17937069.00,,,,,,,,4.00,321.00,,7.00,3429.00,5.00,128025.00,111.00,9316214.00,185116.00,,1
"A ver, a ver - Ric Piccolo Edit","A ver, a ver (Ric Piccolo Edit)",Donald,8/24/2022,GBUQH2200069,"2,666",27.3,67852.00,531.00,98875.00,10.00,421207701.00,529059.00,,,,,1.00,557.00,,,,,,,,,,0
Fight Song,Fight Song,Rachel Platten,12-02-2014,USSM11500753,"2,670",27.3,897794289.00,92326.00,47254001.00,69.00,101998780.00,1084274.00,2209428.00,115034762.00,1021462418.00,2330.00,2.00,117518.00,507.00,20.00,59768.00,47.00,470921326.00,687787.00,,,,0
Pepas,Pepas - Single,Farruko,8/20/2022,QZN882262975,"2,974",27.3,1490710634.00,11.00,1849.00,,,,,,,,1.00,,,,,,,,,,,0
Satu Rasa Cinta,Satu Rasa Cinta - Single,Happy Asmara,12-03-2022,DGA082216479,"2,662",27.3,3451208.00,248.00,31310.00,37.00,10165956.00,42703.00,2410953.00,11483292.00,319066421.00,,,12.00,,,,,,,,,,0
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,07-11-2019,GBAHS1900714,"2,665",27.3,765374782.00,69032.00,29531913.00,67.00,419150011.00,3838603.00,77443.00,6020979.00,43199667.00,171357012.00,109.00,136075.00,43.00,353.00,748613.00,32.00,51150454.00,40049.00,524871.00,4294116.00,,0
Losing It,Losing It,FISHER,7/13/2018,CA5KR1821202,"2,668",27.3,523954769.00,213614.00,31880596.00,67.00,96992359.00,915175.00,44648.00,32897654.00,313069043.00,5471148.00,102.00,17311.00,100.00,43.00,349670.00,36.00,8197498.00,19923.00,,8854107.00,,0
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,05-05-2023,QZVEM2324634,"2,657",27.3,165642949.00,39238.00,3356524.00,62.00,13111498.00,338766.00,202400.00,91978574.00,709390008.00,277235691.00,3.00,63.00,555.00,,,,1467373.00,10053.00,,328655.00,,1
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,USAT21812918,"2,660",27.3,815243082.00,140617.00,18381330.00,66.00,258514568.00,1970363.00,111271.00,87072918.00,649866119.00,8004499.00,43.00,3857.00,47.00,12.00,8457.00,12.00,94670283.00,67712.00,,1328950.00,,1
Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,4/23/2021,USRC12100749,"2,669",27.3,247462687.00,55580.00,12451213.00,61.00,76319678.00,1242250.00,881035.00,270293066.00,1691904373.00,33255959.00,26.00,937.00,,5.00,4470.00,8.00,3787909.00,12036.00,17109367.00,3937642.00,,1
Perfect Strangers,Perfect Strangers,Jonas Blue,06-03-2016,GBUM71602437,"2,664",27.3,1050246077.00,113716.00,28088689.00,69.00,917728451.00,4676705.00,92540.00,8116828.00,62167288.00,264268663.00,95.00,64388.00,,45.00,626313.00,5.00,22195250.00,14777.00,,9355617.00,,0
Hey Brother,TRUE,Avicii,01-01-2013,CH3131340084,"2,663",27.3,1007623089.00,168666.00,43769189.00,72.00,936816983.00,7135806.00,82215.00,16452743.00,160676196.00,188246082.00,57.00,81281.00,28.00,51.00,151326.00,13.00,183199524.00,305146.00,,10854307.00,,0
Otra Noche,Otra Noche - Single,Los ï¿½ï¿½ngeles Az,11-11-2021,MX1722101437,"2,659",27.3,238849559.00,26517.00,11475144.00,64.00,401770615.00,1536208.00,1275.00,1185903.00,16815994.00,10816168.00,12.00,12312.00,211.00,13.00,369524.00,5.00,3690918.00,2072.00,,885927.00,,0
Yet To Come,Proof,BTS,06-10-2022,USA2P2226300,"2,656",27.3,344744597.00,16095.00,22964291.00,64.00,264915434.00,15060408.00,359475.00,122010208.00,973086190.00,559165676.00,28.00,25341.00,77.00,15.00,304852.00,8.00,920415.00,869.00,,625565.00,,0
When I'm Gone,When Iï¿½ï¿½ï¿½m Gone (with Katy ,Alesso,12/29/2021,USUG12106230,"2,658",27.3,279996207.00,36648.00,30173875.00,64.00,42705657.00,691402.00,1943.00,977042.00,19367991.00,1087314726.00,71.00,251715.00,901.00,43.00,750115.00,44.00,50039519.00,3089.00,,1785826.00,,0
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,GBARL2201233,"2,691",27.2,56670689.00,18344.00,1864537.00,16.00,126849797.00,654337.00,1373186.00,19812568.00,344920965.00,34681748.00,31.00,6751.00,1.00,2.00,131930.00,8.00,529966.00,444.00,,2142023.00,,1
WATATI (feat. Aldo Ranks) [From Barbie The Album],WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,06-01-2023,USAT22305791,"2,680",27.2,100094720.00,10333.00,11971076.00,62.00,114762460.00,834616.00,389200.00,34507211.00,686876114.00,2604422.00,,,183.00,12.00,233950.00,,8878410.00,902.00,305973.00,,,0
911,911,Fuerza Regida,11/30/2022,QZ9QQ2200130,"2,676",27.2,181695722.00,14262.00,7383896.00,68.00,188904937.00,781510.00,270390.00,104665493.00,1079156243.00,65064.00,8.00,1645.00,,3.00,32011.00,1.00,23076731.00,5904.00,,567312.00,,0
Always,NEVER ENOUGH,Daniel Caesar,04-07-2023,USUG12209355,"2,688",27.2,281707091.00,40049.00,16537367.00,74.00,23447030.00,216253.00,119645.00,29519019.00,236748049.00,38135485.00,13.00,9.00,26.00,3.00,2038.00,5.00,444186.00,872.00,,494628.00,,1
