ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,Spotify_pop_category,Release year,Clean_track,Clean_album,Clean_artist
USSD12201328,479.0,70.2,136724343.0,15391.0,18104979.0,252644706.0,1115099.0,24961548.0,525208493.0,18.0,39119.0,1152569.0,0.0,Hot track,2023,Bailando Bachata,Bailando Bachata - Single,Chayanne
QMFMF2394976,480.0,70.2,447406866.9237458,59397.50949646643,23351766.968625717,402784101.12144524,2930658.9799206164,191592684.0,2172310968.0,52.57903967983562,73348.0,3940.0,0.0,Hot track,2023,La Bebe,Apple Music Live: Peso Pluma,Peso Pluma
USUM71604711,481.0,70.2,2164074552.0,183260.0,79238401.0,2766700889.0,14538731.0,34125620.0,218876789.0,110.0,229473.0,9988881.0,0.0,Hot track,2016,Treat You Better,Treat You Better,Shawn Mendes
USUM72215366,483.0,70.1,944833760.0,84300.0,40737356.0,442672273.0,1382190.0,110146879.0,1137735925.0,58.0,35382.0,1105660.0,0.0,Hot track,2022,Feliz Cumpleaos Fe,Feliz Cumpleaos Fe,Feid
GBMQN1200012,484.0,70.1,2252713547.0,84884.0,25149126.0,3967431755.0,18261574.0,19565297.0,198665893.0,153.0,128380.0,6449945.75593331,0.0,Well-known,2012,Let Her Go,Let Her Go,Passenger
AUMEV2435468,485.0,70.1,78227549.0,10811.0,34967691.0,18048583.0,346316.0,366700.0,5400000.0,59.0,604.0,1712744.0,0.0,Hot track,2024,Fall Back,Fall Back / Selfish Game - Single,Lithe
USAT21500597,482.0,70.1,2313532702.0,333612.0,85684817.0,3241796669.0,22573742.0,82148305.0,664725202.0,10.0,257332.0,833664.4572244452,0.0,Hot track,2015,Stressed Out,Stressed Out,Twenty One Pilots
USAT22100017,486.0,70.0,1251675613.0,233472.0,41467312.0,1001433936.0,13378087.0,21845741.0,338873585.0,245.0,263773.0,14636399.0,1.0,Well-known,2019,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf
USSM11303954,487.0,69.8,2382407025.0,259202.0,144805002.0,3064193777.0,17820289.0,59268693.0,643209321.0,295.0,225220.0,28058207.0,0.0,Hot track,2012,All of Me,Love In The Future,John Legend
USRC12100442,488.0,69.7,811700245.0,195603.0,31185690.0,168936854.0,1450642.0,90460360.0,752325431.0,39.0,5018.0,925014.0,1.0,Hot track,2021,2055,2055,Sleepy Hallow
USAT22400561,490.0,69.6,152597421.0,19834.0,64067368.0,6556571.0,181948.0,5037290.0,98100600.0,27.0,40104.0,397211.0,1.0,Least popular,2024,Bandit,Bandit - Single,Don Toliver
USYAH1600107,489.0,69.6,1615152539.0,377159.0,51251842.0,887924965.0,7755679.0,56162755.0,430258743.0,271.0,52893.0,12370090.0,1.0,Hot track,2016,Redbone,Redbone,Childish Gambino
USA2P2410436,491.0,69.5,28543791.0,1305.0,5420569.0,148165738.0,1392549.0,2333587.0,37252006.0,6.0,1076.6,291383.0,0.0,Hot track,2024,Yimmy Yimmy,Yimmy Yimmy  - Single,Tayc
USWD12328244,492.0,69.4,15090071.0,1405.0,7665573.0,6176518.0,49281.0,15257747.0,182005109.0,16.0,11.0,25335.0,0.0,Hot track,2023,"This Is The Thanks I Get?! - From ""Wish""",This Is The Thanks I Get?!,Chris Pine
USWD12112915,493.0,69.4,502781351.0,57858.0,20151204.0,749366767.0,5566798.0,415546697.0,3341780836.0,88.0,22082.0,828770.0,0.0,Well-known,2021,We Don't Talk About Bruno,Encanto,Carolina Gaitn - La G
USUG12203266,494.0,69.3,644437397.0,64367.0,18795673.0,141964689.0,814824.0,28267176.0,327463451.0,49.0,340292.0,899954.0,0.0,Hot track,2022,You Proof,You Proof,Morgan Wallen
USUM72119916,495.0,69.2,1502382072.0,240419.0,57503380.0,402784101.12144524,2930658.9799206164,449105708.0,4053240923.0,118.0,137391.0,5075331.452053518,0.0,Hot track,2021,Enemy  - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons
GBAHT1901303,496.0,69.2,1198689895.0,130486.0,49149923.0,761387435.0,6874611.0,134321535.0,1509626629.0,203.0,586919.0,6690156.0,0.0,Hot track,2020,Break My Heart,Break My Heart,Dua Lipa
KRA402200020,497.0,69.0,654818451.0,39852.0,17682503.0,633781726.0,11421404.0,374048198.0,3365539262.0,34.0,18744.0,909449.0,0.0,Well-known,2022,Shut Down,BORN PINK,BLACKPINK
QZ7HP2300092,498.0,68.9,205050873.0,6236.0,32107085.0,242715015.0,1024215.0,1660.0,20904.0,7.0,2838.0,750457.0,0.0,Hot track,2023,Regalo De Dios,PRESENTE,Julin lvarez y su Norte
USA2P2431076,499.0,68.9,26891849.0,722.0,63940453.0,5611228.0,686901.0,6478368.9,44822112.4,57.0,279.0,32683.0,0.0,Hot track,2024,Never Let Go,Never Let Go - Single,Jung Kook
QMEU32211578,500.0,68.9,11360.0,26.0,3294.0,854850866.0,6612.0,4552954.1,58470909.6,7.470238318216965,16.0,264.0,0.0,Least popular,2023,Toyour,Amrat,Rasha Nahas
SGB502214297,501.0,68.8,1212312.0,560.0,367540.0,668067.0,10341.0,888782233.0,14162352713.0,7.591324704589799,1.0,46761.0,0.0,Least popular,2022,Chill Vibes,Chill Vibes,Tollan Kim
USWB11802236,503.0,68.7,1318254846.0,159832.0,44868247.0,1572511545.0,8633372.0,20456871.0,244589825.0,163.0,104438.0,6952792.0,0.0,Hot track,2018,MIA,MIA,Bad Bunny
USUG12001281,505.0,68.7,1059262917.0,200623.0,36388485.0,507137305.0,5604031.0,404119328.0,3734881670.0,146.0,185567.0,5308249.0,1.0,Well-known,2020,Toosie Slide,Toosie Slide,Drake
USUM72300862,506.0,68.7,426341106.0,29511.0,24418991.0,304538874.0,2238586.0,68382766.0,871654140.0,22.0,31573.0,587533.0,0.0,Hot track,2023,MIENTRAS ME CURO DEL CORA,MAANA SER,KAROL G
USUG12401031,504.0,68.7,210385853.0,5179.0,38317286.0,18713330.0,225439.0,9697319.0,65541536.0,92.0,3721.0,84774.0,1.0,Hot track,2024,Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift
USUM71911808,502.0,68.7,907346612.0,200091.0,36757073.0,372311322.0,3400085.0,27666027.0,245290801.0,91.0,644.0,5562800.0,1.0,Well-known,2019,Ballin',Perfect Ten,Mustard
ARF062200275,508.0,68.5,665611.0,145.0,25771.0,1209387613.0,3358774.0,2562318.4,43251357.8,2.0,1.0,519466.90205192135,0.0,Least popular,2022,La llama que Baila,La llama que Baila,El Reino Infantil
USAT22402805,507.0,68.5,33661899.0,3565.0,32881291.0,3729783.0,62696.0,201600.0,1441200.0,8.0,14021.0,109089.0,0.0,Hot track,2024,Ain't No Love In Oklahoma,Ain't No Love In Oklahoma,Luke Combs
USRC12201441,509.0,68.2,553783547.0,83450.0,40562156.0,238368386.0,2671201.0,313806405.0,2994040421.0,57.0,355757.0,3470453.0,1.0,Well-known,2022,Vegas,Vegas,Doja Cat
USSD12300040,510.0,68.2,528420867.0,59791.0,80570021.0,211317309.0,842146.0,28930444.0,451806178.0,84.0,103743.0,3007373.0,0.0,Hot track,2023,El Merengue,El Merengue - Single,Marshmello
USUG12307428,513.0,68.1,142945230.0,13253.0,40716529.0,66893881.0,833116.0,2044007.0,17122064.0,59.0,181747.0,2466891.0,0.0,Hot track,2023,Made For Me,Made For Me,Muni Long
BXG6R2300792,511.0,68.1,269785626.0,27317.0,24472348.0,286261279.0,1999463.0,25293432.7,235516413.1,11.0,16337.7,417614.0,1.0,Well-known,2023,Let's Go 4,Let's Go 4,Mc IG
USSM12305019,512.0,68.1,313693195.0,92838.0,14575457.0,31625039.0,372407.0,3576724.0,32670713.0,17.0,232.0,809119.0,1.0,Hot track,2023,TELEKINESIS,UTOPIA,Travis Scott
QZTPX2351515,514.0,68.0,181784966.0,12794.0,30495153.0,340975288.0,1553160.0,6.0,179.0,17.0,3290.0,329363.0,0.0,Hot track,2023,Daqui pra Sempre,Daqui pra Sempre,Manu
USQX92002595,516.0,68.0,885756212.0,212406.0,24064966.0,226717718.0,2205890.0,27626217.0,200329006.0,46.0,12382.0,1642067.0,1.0,Hot track,2020,Martin & Gina,THE GOAT,Polo G
USUM71819361,515.0,68.0,1878196824.0,134913.0,54753824.0,1479999649.0,20977857.0,119391916.0,982464070.0,238.0,190014.0,26082.0,1.0,Hot track,2018,"thank u, next","thank u, next",Ariana Grande
USCM51600028,518.0,67.9,3192204066.0,379853.0,131832723.0,456806913.0,5068762.0,51227212.0,388544079.0,550.0,184311.0,21316589.0,0.0,Hot track,2016,One Dance,One Dance  - Single,Drake
QZJRC1945204,517.0,67.9,912461674.0,160875.0,50549340.0,200055211.0,2666083.0,285084510.0,3076620938.0,210.0,270224.0,8738165.0,0.0,Well-known,2019,ily,ily,Surf Mesa
USUG11800447,519.0,67.8,1442703001.0,201082.0,35338608.0,460915912.0,7439249.0,36684132.0,325870631.0,15.0,4.0,4703306.0,1.0,Hot track,2018,Hope,?,XXXTENTACION
USRC12204190,520.0,67.6,255898884.0,35610.0,35412821.0,95799266.0,746279.0,9770601.0,112935118.0,80.0,420110.0,3282634.0,0.0,Well-known,2023,TRUSTFALL,TRUSTFALL,P!nk
USUM72001302,521.0,67.5,1177960398.0,124387.0,38596274.0,1048571287.0,8326026.0,56736712.0,517889307.0,250.0,368080.0,4952770.0,0.0,Well-known,2020,Intentions,Intentions,Justin Bieber
QM4TW2315684,522.0,67.4,668103212.0,52040.0,23580184.0,417352534.0,2399654.0,63.0,1213.0,52.0,834.0,889406.0,1.0,Well-known,2023,PRC,PRC,Peso Pluma
